Timestamp,Age,Gender,Occupation Status,What type of organizations are you affiliated with?,Do you use social media?,What social media platforms do you commonly use?,What is the average time you spend on social media every day?,"On a scale of 1 to 5, how often do you find yourself using social media without a specific purpose? ","On a scale of 1 to 5, how often do you get distracted by social media when you are busy doing something? ","On a scale of 1 to 5, how often do you feel restless if you haven't used social media in a while? ","On a scale of 1 to 5, how much are you bothered by worries? ","On a scale of 1-5, how often do you compare yourself to other successful people through the use of social media? ","On a scale of 1 to 5, how frequently does your interest in daily activities fluctuate? ","On a scale of 1 to 5, how often do you face issues regarding sleep? ","On a scale of 1 to 5, how often do you face issues regarding your appetite? "
2024/09/02 9:09:17 am GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,2 to 4 hours,2,2,1,2,2,4,3,3
2024/09/02 9:10:42 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube,2 to 4 hours,3,3,3,2,2,2,3,2
2024/09/02 9:13:54 am GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,3,2,2,3,3,2,3,2
2024/09/02 9:14:58 am GMT+5:30,25,Female,Salaried Worker,Private,No,Instagram;YouTube;Discord,2 to 4 hours,3,2,1,2,2,3,2,2
2024/09/02 9:16:25 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Discord,2 to 4 hours,3,3,2,3,3,3,3,2
2024/09/02 9:17:08 am GMT+5:30,26,Male,Salaried Worker,Private,Yes,Instagram;Twitter;Discord,4 to 6 hours,4,3,3,3,3,3,4,2
2024/09/02 9:17:49 am GMT+5:30,23,Male,University Student,University,Yes,Twitter;YouTube;Snapchat,2 to 4 hours,2,3,2,2,3,3,3,2
2024/09/02 9:18:32 am GMT+5:30,22,Male,University Student,University,Yes,Facebook;Twitter;YouTube;Discord,2 to 4 hours,3,1,2,3,3,1,3,3
2024/09/02 9:20:06 am GMT+5:30,25,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube,2 to 4 hours,3,2,2,2,2,2,3,3
2024/09/02 9:20:32 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Instagram;Twitter;Snapchat;Discord,4 to 6 hours,3,2,4,3,3,4,3,3
2024/09/02 9:22:36 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;Snapchat,4 to 6 hours,3,2,2,3,3,4,2,3
2024/09/02 9:23:26 am GMT+5:30,24,Male,Salaried Worker,Private,Yes,Instagram;Twitter;Snapchat;Discord,2 to 4 hours,3,3,3,3,3,3,3,3
2024/09/02 9:23:53 am GMT+5:30,26,Male,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Discord,4 to 6 hours,2,4,3,2,3,3,3,2
2024/09/02 9:24:04 am GMT+5:30,23,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,2,3,3,3,5,2,1,3
2024/09/02 9:24:32 am GMT+5:30,24,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Discord;Pinterest,4 to 6 hours,1,2,4,4,2,5,3,5
2024/09/02 9:24:33 am GMT+5:30,23,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube,2 to 4 hours,3,3,3,4,2,2,3,4
2024/09/02 9:25:06 am GMT+5:30,25,Female,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat,2 to 4 hours,3,3,3,3,3,4,2,3
2024/09/02 9:26:07 am GMT+5:30,21,Female,Salaried Worker,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,3,3,4,3,4,4,4
2024/09/02 9:26:32 am GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;Twitter;Snapchat;Discord,4 to 6 hours,3,4,3,3,3,3,4,4
2024/09/02 9:27:20 am GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,3,3,3,4,4,3,4,3
2024/09/02 9:27:51 am GMT+5:30,25,Male,Salaried Worker,Private,No,YouTube;Pinterest,2 to 4 hours,3,3,2,3,4,3,3,3
2024/09/02 9:28:30 am GMT+5:30,24,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,4,3,2,3,3,3,4,4
2024/09/02 9:28:58 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Facebook;Instagram;YouTube;Snapchat,2 to 4 hours,4,4,3,3,4,3,4,4
2024/09/02 9:29:22 am GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;Snapchat;Discord,4 to 6 hours,3,2,4,4,2,3,4,2
2024/09/02 9:29:58 am GMT+5:30,24,Male,Salaried Worker,Private,No,Pinterest,1 to 2 hours,2,2,2,3,2,3,2,3
2024/09/02 9:30:28 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,2,3,2,4,4,3,3,3
2024/09/02 11:19:52 am GMT+5:30,25,Male,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,2,3,2,4,4,3,4,3
2024/09/02 11:29:52 am GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat,2 to 4 hours,2,2,4,2,4,3,3,4
2024/09/02 11:38:27 am GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter,2 to 4 hours,2,3,3,3,2,2,3,3
2024/09/02 1:03:41 pm GMT+5:30,22,Male,University Student,Private,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,2,2,1,5,3,3,1
2024/09/02 11:13:19 pm GMT+5:30,24,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;Snapchat,2 to 4 hours,4,2,3,3,3,3,2,3
2024/09/03 9:22:38 am GMT+5:30,24,Male,Salaried Worker,Private,Yes,Twitter;YouTube;Discord,2 to 4 hours,2,2,4,3,3,3,3,2
2024/09/03 9:23:05 am GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Pinterest,4 to 6 hours,3,2,5,4,2,3,4,2
