Timestamp,Age,Gender,Occupation Status,What type of organizations are you affiliated with?,Do you use social media?,What social media platforms do you commonly use?,What is the average time you spend on social media every day?,"On a scale of 1 to 5, how often do you find yourself using social media without a specific purpose? ","On a scale of 1 to 5, how often do you get distracted by social media when you are busy doing something? ","On a scale of 1 to 5, how often do you feel restless if you haven't used social media in a while? ","On a scale of 1 to 5, how much are you bothered by worries? ","On a scale of 1-5, how often do you compare yourself to other successful people through the use of social media? ","On a scale of 1 to 5, how frequently does your interest in daily activities fluctuate? ","On a scale of 1 to 5, how often do you face issues regarding sleep? ","On a scale of 1 to 5, how often do you face issues regarding your appetite? "
2024/09/04 11:58:42 am GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,4 to 6 hours,4,3,3,3,3,4,2,3
2024/09/04 11:59:11 am GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,4,3,4,3,2,3,3,2
2024/09/04 12:01:02 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,1 to 2 hours,2,3,2,3,3,4,3,3
2024/09/04 12:02:07 pm GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Discord,2 to 4 hours,3,2,3,3,3,3,4,3
2024/09/04 12:02:49 pm GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat,2 to 4 hours,3,3,2,3,3,3,3,2
2024/09/04 12:04:03 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;Snapchat;Pinterest,2 to 4 hours,3,3,3,3,2,2,3,2
2024/09/04 12:04:32 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,2 to 4 hours,3,2,3,3,3,2,4,2
2024/09/04 12:05:41 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,3,2,3,3,3,4,3,4
2024/09/04 12:06:18 pm GMT+5:30,22,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,2 to 4 hours,3,3,2,3,2,3,3,2
2024/09/04 12:06:53 pm GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,4 to 6 hours,4,3,3,3,4,4,4,3
2024/09/04 12:07:42 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;YouTube;Snapchat,1 to 2 hours,1,2,1,2,1,3,3,2
2024/09/04 12:08:45 pm GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,4 to 6 hours,4,3,4,4,3,4,3,2
2024/09/04 12:09:52 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;YouTube;Snapchat,2 to 4 hours,4,3,3,2,3,2,3,2
2024/09/04 12:11:10 pm GMT+5:30,24,Male,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,2,2,3,3,3,2,2
2024/09/04 12:11:51 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,3,2,3,2,3,2,3,2
2024/09/04 12:12:45 pm GMT+5:30,20,Female,University Student,University,Yes,Facebook;Instagram;Twitter,1 to 2 hours,1,2,3,3,2,3,3,3
2024/09/04 12:13:40 pm GMT+5:30,24,Male,Salaried Worker,Private,Yes,Facebook;Instagram,1 to 2 hours,1,1,2,1,2,2,2,1
2024/09/04 12:14:37 pm GMT+5:30,21,Male,University Student,University,No,YouTube;Pinterest,1 to 2 hours,2,2,3,2,2,2,3,3
2024/09/04 12:15:25 pm GMT+5:30,23,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Discord,2 to 4 hours,3,2,2,4,2,2,4,2
2024/09/04 12:16:05 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,1 to 2 hours,3,3,2,2,3,3,3,2
2024/09/04 12:21:08 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;Snapchat;Pinterest,2 to 4 hours,3,3,4,3,3,3,3,3
2024/09/04 12:23:56 pm GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;YouTube,2 to 4 hours,2,2,3,2,2,3,3,3
2024/09/04 12:25:24 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Discord,2 to 4 hours,3,2,3,3,2,3,3,2
2024/09/04 12:26:18 pm GMT+5:30,21,Female,University Student,University,Yes,Facebook;Instagram;Twitter;Snapchat,2 to 4 hours,3,2,3,3,3,3,3,2
2024/09/04 12:26:51 pm GMT+5:30,20,Female,University Student,University,Yes,Twitter;YouTube;Snapchat,1 to 2 hours,3,2,1,2,1,3,3,2
2024/09/04 7:34:28 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,4 to 6 hours,3,4,4,3,3,3,3,3
2024/09/04 7:36:03 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,2,2,2,3,2,4,3,2
2024/09/04 7:36:33 pm GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Discord,4 to 6 hours,3,2,2,2,3,3,2,2
2024/09/04 7:38:39 pm GMT+5:30,22,Male,University Student,University,Yes,Instagram;YouTube;Snapchat;Discord,4 to 6 hours,3,3,3,3,3,2,4,2
2024/09/04 7:41:04 pm GMT+5:30,20,Male,University Student,University,Yes,Instagram;Twitter;YouTube,2 to 4 hours,4,4,3,3,3,3,2,3
2024/09/04 7:43:41 pm GMT+5:30,20,Female,University Student,University,Yes,YouTube;Snapchat;Pinterest,1 to 2 hours,5,5,3,4,1,4,2,2
2024/09/04 7:52:49 pm GMT+5:30,21,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,4,2,3,4,3,3,3,3
2024/09/04 7:58:14 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat;Discord,2 to 4 hours,3,3,4,3,3,3,3,4
2024/09/04 8:03:42 pm GMT+5:30,23,Male,University Student,University,Yes,Instagram;Twitter;YouTube,2 to 4 hours,4,3,3,3,3,3,3,2
2024/09/04 8:04:04 pm GMT+5:30,26,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Snapchat;Pinterest,4 to 6 hours,4,4,3,2,4,4,3,3
2024/09/04 8:05:57 pm GMT+5:30,23,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube,4 to 6 hours,5,4,2,3,1,3,2,3
2024/09/04 8:06:51 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,2,3,4,2,4,4,4,4
2024/09/04 8:07:41 pm GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat;Discord;Pinterest,4 to 6 hours,4,4,4,4,3,3,2,1
2024/09/04 8:13:16 pm GMT+5:30,21,Female,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Discord,4 to 6 hours,3,3,2,4,3,3,3,2
2024/09/04 8:13:43 pm GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;YouTube;Discord,4 to 6 hours,4,5,3,4,3,5,3,2
2024/09/04 8:14:56 pm GMT+5:30,23,Female,University Student,University,Yes,Instagram;Snapchat;Pinterest,2 to 4 hours,3,2,3,3,1,3,3,3
2024/09/04 8:16:00 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat,2 to 4 hours,3,3,2,3,2,2,2,2
